Starting duty-cycle loop
iteration,frequency_in,frequency_out,resolution_out,ratio,read_val
0,10000,10000,12,0.298,0.28685
1,10000,10000,12,0.298,0.28695
2,10000,10000,12,0.298,0.28705
3,10000,10000,12,0.298,0.28505
4,10000,10000,12,0.298,0.28545
0,5000,15000,12,0.298,0.2889
1,5000,15000,12,0.298,0.2873
2,5000,15000,12,0.298,0.288
3,5000,15000,12,0.298,0.2859
4,5000,15000,12,0.298,0.2867
0,10000,10000,12,0.18,0.17285
1,10000,10000,12,0.18,0.1722
2,10000,10000,12,0.18,0.1716
3,10000,10000,12,0.18,0.17225
4,10000,10000,12,0.18,0.17215
0,5000,15000,12,0.18,0.1738
1,5000,15000,12,0.18,0.1713
2,5000,15000,12,0.18,0.1714
3,5000,15000,12,0.18,0.1717
4,5000,15000,12,0.18,0.1714
0,10000,10000,12,0.919,0.9072
1,10000,10000,12,0.919,0.9123
2,10000,10000,12,0.919,0.91355
3,10000,10000,12,0.919,0.9123
4,10000,10000,12,0.919,0.91295
0,5000,15000,12,0.919,0.9063
1,5000,15000,12,0.919,0.9159
2,5000,15000,12,0.919,0.9157
3,5000,15000,12,0.919,0.9158
4,5000,15000,12,0.919,0.9157
0,10000,10000,12,0.975,0.9725
1,10000,10000,12,0.975,0.9732
2,10000,10000,12,0.975,0.97315
3,10000,10000,12,0.975,0.9732
4,10000,10000,12,0.975,0.9731
0,5000,15000,12,0.975,0.9734
1,5000,15000,12,0.975,0.9744
2,5000,15000,12,0.975,0.9739
3,5000,15000,12,0.975,0.9743
4,5000,15000,12,0.975,0.9739
0,10000,10000,12,0.524,0.51345
1,10000,10000,12,0.524,0.5125
2,10000,10000,12,0.524,0.5084
3,10000,10000,12,0.524,0.5126
4,10000,10000,12,0.524,0.50865
0,5000,15000,12,0.524,0.5128
1,5000,15000,12,0.524,0.5066
2,5000,15000,12,0.524,0.5067
3,5000,15000,12,0.524,0.5102
4,5000,15000,12,0.524,0.5117
0,10000,10000,12,0.571,0.55605
1,10000,10000,12,0.571,0.557
2,10000,10000,12,0.571,0.5582
3,10000,10000,12,0.571,0.55665
4,10000,10000,12,0.571,0.5566
0,5000,15000,12,0.571,0.5566
1,5000,15000,12,0.571,0.5552
2,5000,15000,12,0.571,0.5567
3,5000,15000,12,0.571,0.5552
